parameter,param_value,policy,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
spare_pool_size,50,NeverRemove,2401.13,42.17,0.0,0.0,0.00
spare_pool_size,50,Thresh ≥2/7d,2333.12,36.62,98.5,10.5,0.00
spare_pool_size,50,Thresh ≥3/7d,2369.96,33.42,3.5,1.8,0.00
spare_pool_size,100,NeverRemove,2417.50,54.84,0.0,0.0,0.00
spare_pool_size,100,Thresh ≥2/7d,2295.66,20.80,107.0,12.1,0.00
spare_pool_size,100,Thresh ≥3/7d,2388.05,43.83,4.9,1.7,0.00
spare_pool_size,150,NeverRemove,2358.46,59.79,0.0,0.0,0.00
spare_pool_size,150,Thresh ≥2/7d,2305.76,32.13,104.0,11.1,0.00
spare_pool_size,150,Thresh ≥3/7d,2364.23,65.54,3.6,1.4,0.00
spare_pool_size,200,NeverRemove,2394.64,38.69,0.0,0.0,0.00
spare_pool_size,200,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
spare_pool_size,200,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
spare_pool_size,300,NeverRemove,2384.49,75.32,0.0,0.0,0.00
spare_pool_size,300,Thresh ≥2/7d,2294.52,28.18,105.0,7.5,0.00
spare_pool_size,300,Thresh ≥3/7d,2399.62,44.98,4.0,2.0,0.00
spare_pool_size,500,NeverRemove,2379.96,17.73,0.0,0.0,0.00
spare_pool_size,500,Thresh ≥2/7d,2318.89,54.18,103.4,9.7,0.00
spare_pool_size,500,Thresh ≥3/7d,2385.99,51.12,3.9,2.0,0.00
