section,x,policy,n_reps,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
multiplier,15,Thresh ≥2/7d,15,2231.99,47.55293366344453,82.33333333333333,9.611501047232549,0.0
multiplier,20,Thresh ≥2/7d,15,2319.123333333333,53.57110050693333,106.2,10.63820607863133,0.0
multiplier,25,Thresh ≥2/7d,15,2347.6166666666663,40.73674046618781,117.06666666666666,7.333549780355512,0.0
multiplier,30,Thresh ≥2/7d,15,2370.006666666667,50.430981360196355,129.0,7.755182598937123,0.0
multiplier,5,SC_fast,15,1818.6066666666668,36.25303862469767,237.06666666666666,14.78158442438557,0.0
multiplier,10,SC_fast,15,1988.8999999999996,34.67618573520999,338.1333333333333,13.68454115659954,0.0
multiplier,15,SC_fast,15,2025.78,21.541801556177294,370.73333333333335,12.875595224336324,0.0
multiplier,20,SC_fast,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
multiplier,25,SC_fast,15,2099.31,26.629650499289422,400.4,11.61772045503887,0.0
multiplier,30,SC_fast,15,2082.8266666666664,30.543902049033488,398.6,8.024961059095551,0.0
multiplier,5,SC_moderate,15,1818.6066666666668,36.25303862469767,237.06666666666666,14.78158442438557,0.0
multiplier,10,SC_moderate,15,1988.8999999999996,34.67618573520999,338.1333333333333,13.68454115659954,0.0
multiplier,15,SC_moderate,15,2025.78,21.541801556177294,370.73333333333335,12.875595224336324,0.0
multiplier,20,SC_moderate,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
multiplier,25,SC_moderate,15,2099.31,26.629650499289422,400.4,11.61772045503887,0.0
multiplier,30,SC_moderate,15,2082.8266666666664,30.543902049033488,398.6,8.024961059095551,0.0
multiplier,5,SC_long_period,15,1818.6066666666668,36.25303862469767,237.06666666666666,14.78158442438557,0.0
multiplier,10,SC_long_period,15,1988.8999999999996,34.67618573520999,338.1333333333333,13.68454115659954,0.0
multiplier,15,SC_long_period,15,2025.78,21.541801556177294,370.73333333333335,12.875595224336324,0.0
multiplier,20,SC_long_period,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
multiplier,25,SC_long_period,15,2099.31,26.629650499289422,400.4,11.61772045503887,0.0
multiplier,30,SC_long_period,15,2082.8266666666664,30.543902049033488,398.6,8.024961059095551,0.0
multiplier,5,SC_calibrated,15,1856.1033333333337,35.24665874066587,45.06666666666667,5.188815811320491,0.0
multiplier,10,SC_calibrated,15,2046.2500000000007,29.88835774296545,106.4,5.193402408000806,0.0
multiplier,15,SC_calibrated,15,2179.773333333332,46.49043629249736,161.06666666666666,12.504094567475926,0.0
multiplier,20,SC_calibrated,15,2232.326666666665,55.57120228867941,187.66666666666666,8.837151016885368,0.0
multiplier,25,SC_calibrated,15,2253.6266666666666,41.220846263349436,197.8,6.04979338490167,0.0
multiplier,30,SC_calibrated,15,2274.3566666666666,33.87298684933594,208.8,9.143303560529969,0.0
manual_repair_fail_prob,0.2,NeverRemove,15,1953.8999999999999,40.94293502634446,0.0,0.0,0.0
manual_repair_fail_prob,0.4,NeverRemove,15,2060.173333333334,53.182233427913765,0.0,0.0,0.0
manual_repair_fail_prob,0.6,NeverRemove,15,2231.22,48.529018564743716,0.0,0.0,0.0
manual_repair_fail_prob,0.75,NeverRemove,15,2394.7633333333333,48.907049107268904,0.0,0.0,0.0
manual_repair_fail_prob,0.9,NeverRemove,15,2612.2566666666667,40.803933925659955,0.0,0.0,0.0
manual_repair_fail_prob,0.2,Thresh ≥3/7d,15,1952.7033333333334,41.91998954925354,0.6,0.828078671210825,0.0
manual_repair_fail_prob,0.4,Thresh ≥3/7d,15,2063.3966666666665,32.18685105679695,2.0,1.6903085094570331,0.0
manual_repair_fail_prob,0.6,Thresh ≥3/7d,15,2235.2400000000007,37.02738947628553,2.6,1.5946338585572373,0.0
manual_repair_fail_prob,0.75,Thresh ≥3/7d,15,2388.236666666667,47.42780779649253,4.4,2.667261838343906,0.0
